date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,conversion_rate,spend_efficiency,ctr_cpc_ratio,log_impressions,cost_per_impression,high_roas,platform_enc,campaign_type_enc,industry_enc,country_enc
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,0.0353,1.26,2662.38,159,16.74,4803.43,1.8,0.07524846190250828,1.8041864797662241,0.028015850781070807,11.000214732168839,0.04445746919146378,0,0,1,2,4
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,0.0385,1.18,6159.6,411,14.99,64126.68,10.41,0.07873563218390804,10.410851353984024,0.032627090993990686,11.817531023967346,0.04542209899120996,1,2,1,1,5
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313,5991,0.0649,0.85,5092.35,267,19.07,10489.07,2.06,0.04456685027541312,2.0597700472277043,0.07635285134958665,11.43295108829541,0.05516395307269832,0,2,3,3,6
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.0707,1.32,7834.2,296,26.47,50505.07,6.45,0.04987363100252738,6.4467424880651505,0.053560565484420085,11.338024308779758,0.09331649851702738,1,2,2,4,2
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,0.0489,1.93,8663.77,107,80.97,3369.53,0.39,0.02383604366228559,0.3889219127469912,0.02533677443690444,11.42745471878109,0.09436938359820057,0,2,1,3,5
2024-10-15,TikTok Ads,Search,Fintech,Canada,17666,724,0.041,0.37,267.88,23,11.65,5220.85,19.49,0.031767955801104975,19.489510228460507,0.11081051132294238,9.77945377161268,0.015163591078908637,1,2,1,2,1
2024-08-14,Meta Ads,Video,Fintech,USA,118252,3748,0.0317,0.42,1574.16,152,10.36,12838.56,8.16,0.04055496264674493,8.15581643543223,0.07547601077140292,11.680581676011226,0.01331191015796773,1,1,3,2,6
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0557,0.66,3416.16,388,8.8,96298.69,28.19,0.07496136012364761,28.1891626855885,0.08439381152452799,11.43970940263897,0.036757012664220615,1,2,1,1,4
2024-04-17,Meta Ads,Display,EdTech,Germany,30939,937,0.0303,0.59,552.83,63,8.78,16531.03,29.9,0.0672358591248666,29.902555939438884,0.051355845159584475,10.339805124127057,0.017868386179255957,1,1,0,1,2
2024-11-13,Google Ads,Shopping,Fintech,USA,8748,362,0.0414,1.21,438.02,10,43.8,966.57,2.21,0.027624309392265192,2.206680060271221,0.03421484775632417,9.076694687106265,0.05007087334247828,0,0,2,2,6
